season_year,iso_week,defense_team,opponent_team,position,points_allowed
2024,1,ARI,SF,QB,24.540000000000003
2024,1,ARI,SF,RB,13.4
2024,1,ARI,SF,WR/TE,58.1
2024,1,ATL,CAR,QB,53.839999999999996
2024,1,ATL,CAR,RB,31.9
2024,1,ATL,CAR,WR/TE,53.36
2024,1,BAL,CLE,QB,7.82
2024,1,BAL,CLE,RB,8.4
2024,1,BAL,CLE,WR/TE,30.0
2024,1,BUF,NE,QB,19.24
2024,1,BUF,NE,RB,10.1
2024,1,BUF,NE,WR/TE,37.1
2024,1,CAR,ATL,QB,24.98
2024,1,CAR,ATL,RB,68.5
2024,1,CAR,ATL,WR/TE,49.7
2024,1,CHI,GB,QB,5.74
2024,1,CHI,GB,RB,30.6
2024,1,CHI,GB,WR/TE,24.0
2024,1,CIN,PIT,QB,11.56
2024,1,CIN,PIT,RB,29.3
2024,1,CIN,PIT,WR/TE,28.400000000000002
2024,1,CLE,BAL,QB,23.38
2024,1,CLE,BAL,RB,29.099999999999998
2024,1,CLE,BAL,WR/TE,40.300000000000004
2024,1,DAL,WAS,QB,36.36
2024,1,DAL,WAS,RB,8.4
2024,1,DAL,WAS,WR/TE,39.1
2024,1,DEN,KC,QB,9.719999999999999
2024,1,DEN,KC,RB,4.0
2024,1,DEN,KC,WR/TE,13.299999999999999
2024,1,DET,MIN,QB,7.64
2024,1,DET,MIN,RB,25.8
2024,1,DET,MIN,WR/TE,25.6
2024,1,DET,SF,QB,38.46
2024,1,DET,SF,RB,11.9
2024,1,DET,SF,WR/TE,68.1
2024,1,GB,CHI,QB,29.08
2024,1,GB,CHI,RB,16.9
2024,1,GB,CHI,WR/TE,42.1
2024,1,HOU,TEN,QB,13.100000000000001
2024,1,HOU,TEN,RB,7.5
2024,1,HOU,TEN,WR/TE,38.2
2024,1,IND,JAX,QB,12.46
2024,1,IND,JAX,RB,21.5
2024,1,IND,JAX,WR/TE,52.96
2024,1,JAX,IND,QB,14.56
2024,1,JAX,IND,RB,51.0
2024,1,JAX,IND,WR/TE,41.1
2024,1,KC,DEN,QB,42.64
2024,1,KC,DEN,RB,25.400000000000002
2024,1,KC,DEN,WR/TE,70.3
2024,1,LA,SEA,QB,26.32
2024,1,LA,SEA,RB,14.0
2024,1,LA,SEA,WR/TE,53.5
2024,1,LAC,LV,QB,16.3
2024,1,LAC,LV,RB,5.8
2024,1,LAC,LV,WR/TE,43.8
2024,1,LV,LAC,QB,26.04
2024,1,LV,LAC,RB,18.299999999999997
2024,1,LV,LAC,WR/TE,57.8
2024,1,MIA,NYJ,QB,28.26
2024,1,MIA,NYJ,RB,24.599999999999998
2024,1,MIA,NYJ,WR/TE,70.4
2024,1,MIN,DET,QB,9.24
2024,1,MIN,DET,RB,53.8
2024,1,MIN,DET,WR/TE,31.0
2024,1,NE,BUF,QB,10.48
2024,1,NE,BUF,RB,22.7
2024,1,NE,BUF,WR/TE,23.3
2024,1,NO,TB,QB,21.64
2024,1,NO,TB,RB,17.3
2024,1,NO,TB,WR/TE,44.7
2024,1,NYG,PHI,QB,18.86
2024,1,NYG,PHI,RB,15.899999999999999
2024,1,NYG,PHI,WR/TE,45.4
2024,1,NYJ,MIA,QB,8.76
2024,1,NYJ,MIA,RB,20.300000000000004
2024,1,NYJ,MIA,WR/TE,39.6
2024,1,PHI,NYG,QB,7.52
2024,1,PHI,NYG,RB,10.600000000000001
2024,1,PHI,NYG,WR/TE,29.700000000000003
2024,1,PIT,CIN,QB,12.98
2024,1,PIT,CIN,RB,23.6
2024,1,PIT,CIN,WR/TE,47.300000000000004
2024,1,SEA,LA,QB,19.86
2024,1,SEA,LA,RB,13.5
2024,1,SEA,LA,WR/TE,64.8
2024,1,SF,ARI,QB,28.08
2024,1,SF,ARI,RB,26.4
2024,1,SF,ARI,WR/TE,68.3
2024,1,SF,DET,QB,22.18
2024,1,SF,DET,RB,50.9
2024,1,SF,DET,WR/TE,51.5
2024,1,TB,NO,QB,25.7
2024,1,TB,NO,RB,11.2
2024,1,TB,NO,WR/TE,43.699999999999996
2024,1,TEN,HOU,QB,12.219999999999999
2024,1,TEN,HOU,RB,28.9
2024,1,TEN,HOU,WR/TE,31.700000000000003
2024,1,WAS,DAL,QB,12.36
2024,1,WAS,DAL,RB,19.1
2024,1,WAS,DAL,WR/TE,37.1
2024,36,ARI,BUF,QB,31.18
2024,36,ARI,BUF,RB,16.5
2024,36,ARI,BUF,WR/TE,40.599999999999994
2024,36,ATL,PIT,QB,11.96
2024,36,ATL,PIT,RB,21.1
2024,36,ATL,PIT,WR/TE,20.200000000000003
2024,36,BAL,KC,QB,14.64
2024,36,BAL,KC,RB,15.100000000000001
2024,36,BAL,KC,WR/TE,48.2
2024,36,BUF,ARI,QB,14.18
2024,36,BUF,ARI,RB,21.7
2024,36,BUF,ARI,WR/TE,23.7
2024,36,CAR,NO,QB,31.3
2024,36,CAR,NO,RB,35.9
2024,36,CAR,NO,WR/TE,55.2
2024,36,CHI,TEN,QB,9.28
2024,36,CHI,TEN,RB,22.099999999999998
2024,36,CHI,TEN,WR/TE,23.8
2024,36,CIN,NE,QB,8.04
2024,36,CIN,NE,RB,21.9
2024,36,CIN,NE,WR/TE,17.5
2024,36,CLE,DAL,QB,11.360000000000001
2024,36,CLE,DAL,RB,16.0
2024,36,CLE,DAL,WR/TE,36.9
2024,36,DAL,CLE,QB,10.66
2024,36,DAL,CLE,RB,19.900000000000002
2024,36,DAL,CLE,WR/TE,29.0
2024,36,DEN,SEA,QB,17.84
2024,36,DEN,SEA,RB,29.1
2024,36,DEN,SEA,WR/TE,20.7
2024,36,DET,LA,QB,14.68
2024,36,DET,LA,RB,14.5
2024,36,DET,LA,WR/TE,64.9
2024,36,GB,PHI,QB,16.42
2024,36,GB,PHI,RB,33.900000000000006
2024,36,GB,PHI,WR/TE,39.0
2024,36,HOU,IND,QB,26.08
2024,36,HOU,IND,RB,21.6
2024,36,HOU,IND,WR/TE,37.7
2024,36,IND,HOU,QB,18.66
2024,36,IND,HOU,RB,26.900000000000002
2024,36,IND,HOU,WR/TE,46.699999999999996
2024,36,JAX,MIA,QB,18.62
2024,36,JAX,MIA,RB,47.5
2024,36,JAX,MIA,WR/TE,43.0
2024,36,KC,BAL,QB,25.12
2024,36,KC,BAL,RB,10.6
2024,36,KC,BAL,WR/TE,56.5
2024,36,LA,DET,QB,33.28
2024,36,LA,DET,RB,53.1
2024,36,LA,DET,WR/TE,33.1
2024,36,LAC,LV,QB,10.78
2024,36,LAC,LV,RB,18.799999999999997
2024,36,LAC,LV,WR/TE,39.4
2024,36,LV,LAC,QB,10.36
2024,36,LV,LAC,RB,24.7
2024,36,LV,LAC,WR/TE,27.2
2024,36,MIA,JAX,QB,11.28
2024,36,MIA,JAX,RB,18.2
2024,36,MIA,JAX,WR/TE,26.0
2024,36,MIN,NYG,QB,4.94
2024,36,MIN,NYG,RB,9.2
2024,36,MIN,NYG,WR/TE,29.4
2024,36,NE,CIN,QB,8.06
2024,36,NE,CIN,RB,16.9
2024,36,NE,CIN,WR/TE,19.5
2024,36,NO,CAR,QB,13.84
2024,36,NO,CAR,RB,5.4
2024,36,NO,CAR,WR/TE,26.099999999999998
2024,36,NYG,MIN,QB,14.62
2024,36,NYG,MIN,RB,23.599999999999998
2024,36,NYG,MIN,WR/TE,47.4
2024,36,PHI,GB,QB,16.4
2024,36,PHI,GB,RB,17.2
2024,36,PHI,GB,WR/TE,51.6
2024,36,PIT,ATL,QB,4.2
2024,36,PIT,ATL,RB,29.3
2024,36,PIT,ATL,WR/TE,22.700000000000003
2024,36,SEA,DEN,QB,11.860000000000001
2024,36,SEA,DEN,RB,9.7
2024,36,SEA,DEN,WR/TE,33.5
2024,36,TB,WAS,QB,30.28
2024,36,TB,WAS,RB,42.8
2024,36,TB,WAS,WR/TE,13.5
2024,36,TEN,CHI,QB,20.02
2024,36,TEN,CHI,RB,7.199999999999999
2024,36,TEN,CHI,WR/TE,23.900000000000002
2024,36,WAS,TB,QB,29.82
2024,36,WAS,TB,RB,22.2
2024,36,WAS,TB,WR/TE,52.9
2024,37,ARI,LA,QB,6.64
2024,37,ARI,LA,RB,16.5
2024,37,ARI,LA,WR/TE,28.9
2024,37,BAL,LV,QB,12.94
2024,37,BAL,LV,RB,12.6
2024,37,BAL,LV,WR/TE,66.3
2024,37,BUF,MIA,QB,9.1
2024,37,BUF,MIA,RB,33.7
2024,37,BUF,MIA,WR/TE,26.4
2024,37,CAR,LAC,QB,11.0
2024,37,CAR,LAC,RB,26.6
2024,37,CAR,LAC,WR/TE,31.5
2024,37,CHI,HOU,QB,14.3
2024,37,CHI,HOU,RB,10.5
2024,37,CHI,HOU,WR/TE,40.6
2024,37,CIN,KC,QB,12.94
2024,37,CIN,KC,RB,20.6
2024,37,CIN,KC,WR/TE,25.5
2024,37,CLE,JAX,QB,13.3
2024,37,CLE,JAX,RB,15.9
2024,37,CLE,JAX,WR/TE,32.5
2024,37,DAL,NO,QB,21.419999999999998
2024,37,DAL,NO,RB,49.4
2024,37,DAL,NO,WR/TE,36.0
2024,37,DEN,PIT,QB,11.38
2024,37,DEN,PIT,RB,23.599999999999998
2024,37,DEN,PIT,WR/TE,20.3
2024,37,DET,TB,QB,18.8
2024,37,DET,TB,RB,5.0
2024,37,DET,TB,WR/TE,29.1
2024,37,GB,IND,QB,9.86
2024,37,GB,IND,RB,30.9
2024,37,GB,IND,WR/TE,28.8
2024,37,HOU,CHI,QB,15.8
2024,37,HOU,CHI,RB,22.2
2024,37,HOU,CHI,WR/TE,31.6
2024,37,IND,GB,QB,12.98
2024,37,IND,GB,RB,17.4
2024,37,IND,GB,WR/TE,27.9
2024,37,JAX,CLE,QB,15.34
2024,37,JAX,CLE,RB,19.1
2024,37,JAX,CLE,WR/TE,28.8
2024,37,KC,CIN,QB,17.12
2024,37,KC,CIN,RB,8.4
2024,37,KC,CIN,WR/TE,47.5
2024,37,LA,ARI,QB,26.74
2024,37,LA,ARI,RB,25.5
2024,37,LA,ARI,WR/TE,57.2
2024,37,LAC,CAR,QB,5.5600000000000005
2024,37,LAC,CAR,RB,23.2
2024,37,LAC,CAR,WR/TE,12.8
2024,37,LV,BAL,QB,16.38
2024,37,LV,BAL,RB,16.8
2024,37,LV,BAL,WR/TE,44.9
2024,37,MIA,BUF,QB,9.66
2024,37,MIA,BUF,RB,31.2
2024,37,MIA,BUF,WR/TE,17.9
2024,37,MIN,SF,QB,13.96
2024,37,MIN,SF,RB,16.9
2024,37,MIN,SF,WR/TE,50.0
2024,37,NE,SEA,QB,17.88
2024,37,NE,SEA,RB,15.4
2024,37,NE,SEA,WR/TE,49.599999999999994
2024,37,NO,DAL,QB,13.120000000000001
2024,37,NO,DAL,RB,14.3
2024,37,NO,DAL,WR/TE,42.5
2024,37,NYG,WAS,QB,17.38
2024,37,NYG,WAS,RB,38.2
2024,37,NYG,WAS,WR/TE,27.2
2024,37,NYJ,SF,QB,10.24
2024,37,NYJ,SF,RB,22.2
2024,37,NYJ,SF,WR/TE,39.900000000000006
2024,37,NYJ,TEN,QB,14.280000000000001
2024,37,NYJ,TEN,RB,16.799999999999997
2024,37,NYJ,TEN,WR/TE,34.5
2024,37,PIT,DEN,QB,16.16
2024,37,PIT,DEN,RB,11.9
2024,37,PIT,DEN,WR/TE,45.6
2024,37,SEA,NE,QB,10.56
2024,37,SEA,NE,RB,27.0
2024,37,SEA,NE,WR/TE,25.3
2024,37,SF,MIN,QB,19.92
2024,37,SF,MIN,RB,15.5
2024,37,SF,MIN,WR/TE,62.5
2024,37,SF,NYJ,QB,16.96
2024,37,SF,NYJ,RB,18.1
2024,37,SF,NYJ,WR/TE,40.14
2024,37,TB,DET,QB,20.68
2024,37,TB,DET,RB,41.0
2024,37,TB,DET,WR/TE,38.0
2024,37,TEN,NYJ,QB,33.74
2024,37,TEN,NYJ,RB,40.4
2024,37,TEN,NYJ,WR/TE,16.599999999999998
2024,37,WAS,NYG,QB,18.32
2024,37,WAS,NYG,RB,14.299999999999999
2024,37,WAS,NYG,WR/TE,37.3
2024,38,ARI,DET,QB,13.66
2024,38,ARI,DET,RB,35.5
2024,38,ARI,DET,WR/TE,29.0
2024,38,ATL,KC,QB,16.38
2024,38,ATL,KC,RB,8.5
2024,38,ATL,KC,WR/TE,49.3
2024,38,ATL,PHI,QB,23.86
2024,38,ATL,PHI,RB,15.5
2024,38,ATL,PHI,WR/TE,31.700000000000003
2024,38,BAL,DAL,QB,30.36
2024,38,BAL,DAL,RB,10.6
2024,38,BAL,DAL,WR/TE,58.1
2024,38,CAR,LV,QB,19.240000000000002
2024,38,CAR,LV,RB,17.6
2024,38,CAR,LV,WR/TE,53.6
2024,38,CHI,IND,QB,5.08
2024,38,CHI,IND,RB,59.6
2024,38,CHI,IND,WR/TE,18.7
2024,38,CLE,NYG,QB,21.94
2024,38,CLE,NYG,RB,21.8
2024,38,CLE,NYG,WR/TE,38.8
2024,38,DAL,BAL,QB,25.98
2024,38,DAL,BAL,RB,29.900000000000002
2024,38,DAL,BAL,WR/TE,37.4
2024,38,DEN,TB,QB,8.64
2024,38,DEN,TB,RB,16.3
2024,38,DEN,TB,WR/TE,25.900000000000002
2024,38,DET,ARI,QB,14.78
2024,38,DET,ARI,RB,4.5
2024,38,DET,ARI,WR/TE,35.9
2024,38,GB,TEN,QB,46.2
2024,38,GB,TEN,RB,12.5
2024,38,GB,TEN,WR/TE,56.9
2024,38,HOU,MIN,QB,23.24
2024,38,HOU,MIN,RB,24.6
2024,38,HOU,MIN,WR/TE,54.900000000000006
2024,38,IND,CHI,QB,28.52
2024,38,IND,CHI,RB,15.2
2024,38,IND,CHI,WR/TE,67.19999999999999
2024,38,KC,ATL,QB,11.1
2024,38,KC,ATL,RB,26.599999999999998
2024,38,KC,ATL,WR/TE,37.9
2024,38,LA,SF,QB,22.599999999999998
2024,38,LA,SF,RB,12.4
2024,38,LA,SF,WR/TE,56.2
2024,38,LAC,PIT,QB,18.4
2024,38,LAC,PIT,RB,25.3
2024,38,LAC,PIT,WR/TE,35.8
2024,38,LV,CAR,QB,24.56
2024,38,LV,CAR,RB,58.1
2024,38,LV,CAR,WR/TE,50.3
2024,38,MIA,SEA,QB,11.0
2024,38,MIA,SEA,RB,25.3
2024,38,MIA,SEA,WR/TE,43.9
2024,38,MIN,HOU,QB,12.96
2024,38,MIN,HOU,RB,21.6
2024,38,MIN,HOU,WR/TE,42.92
2024,38,NE,NYJ,QB,29.34
2024,38,NE,NYJ,RB,25.2
2024,38,NE,NYJ,WR/TE,50.800000000000004
2024,38,NO,PHI,QB,11.06
2024,38,NO,PHI,RB,33.2
2024,38,NO,PHI,WR/TE,40.800000000000004
2024,38,NYG,CLE,QB,14.54
2024,38,NYG,CLE,RB,9.0
2024,38,NYG,CLE,WR/TE,61.400000000000006
2024,38,NYJ,NE,QB,7.9
2024,38,NYJ,NE,RB,6.6
2024,38,NYJ,NE,WR/TE,18.6
2024,38,PHI,ATL,QB,17.54
2024,38,PHI,ATL,RB,35.4
2024,38,PHI,ATL,WR/TE,40.2
2024,38,PHI,NO,QB,7.98
2024,38,PHI,NO,RB,14.6
2024,38,PHI,NO,WR/TE,21.6
2024,38,PIT,LAC,QB,9.96
2024,38,PIT,LAC,RB,7.800000000000001
2024,38,PIT,LAC,WR/TE,26.200000000000003
2024,38,SEA,MIA,QB,11.8
2024,38,SEA,MIA,RB,16.5
2024,38,SEA,MIA,WR/TE,29.0
2024,38,SF,LA,QB,12.96
2024,38,SF,LA,RB,31.099999999999998
2024,38,SF,LA,WR/TE,29.900000000000002
2024,38,TB,DEN,QB,23.5
2024,38,TB,DEN,RB,19.4
2024,38,TB,DEN,WR/TE,36.6
2024,38,TEN,GB,QB,25.38
2024,38,TEN,GB,RB,22.9
2024,38,TEN,GB,WR/TE,23.1
2024,39,ARI,WAS,QB,34.92
2024,39,ARI,WAS,RB,57.3
2024,39,ARI,WAS,WR/TE,40.2
2024,39,ATL,NO,QB,10.36
2024,39,ATL,NO,RB,38.699999999999996
2024,39,ATL,NO,WR/TE,46.9
2024,39,BAL,BUF,QB,7.38
2024,39,BAL,BUF,RB,6.4
2024,39,BAL,BUF,WR/TE,31.599999999999998
2024,39,BUF,BAL,QB,23.68
2024,39,BUF,BAL,RB,34.300000000000004
2024,39,BUF,BAL,WR/TE,52.64
2024,39,BUF,JAX,QB,9.7
2024,39,BUF,JAX,RB,11.2
2024,39,BUF,JAX,WR/TE,37.98
2024,39,CAR,CIN,QB,16.28
2024,39,CAR,CIN,RB,39.5
2024,39,CAR,CIN,WR/TE,33.3
2024,39,CHI,LA,QB,4.86
2024,39,CHI,LA,RB,21.0
2024,39,CHI,LA,WR/TE,29.4
2024,39,CIN,CAR,QB,20.9
2024,39,CIN,CAR,RB,47.1
2024,39,CIN,CAR,WR/TE,44.0
2024,39,CIN,WAS,QB,28.06
2024,39,CIN,WAS,RB,39.8
2024,39,CIN,WAS,WR/TE,43.8
2024,39,CLE,LV,QB,11.0
2024,39,CLE,LV,RB,10.2
2024,39,CLE,LV,WR/TE,35.3
2024,39,DAL,NYG,QB,11.54
2024,39,DAL,NYG,RB,9.3
2024,39,DAL,NYG,WR/TE,39.1
2024,39,DEN,NYJ,QB,15.86
2024,39,DEN,NYJ,RB,7.8999999999999995
2024,39,DEN,NYJ,WR/TE,31.9
2024,39,GB,MIN,QB,19.98
2024,39,GB,MIN,RB,17.7
2024,39,GB,MIN,WR/TE,68.2
2024,39,HOU,JAX,QB,16.44
2024,39,HOU,JAX,RB,15.5
2024,39,HOU,JAX,WR/TE,38.199999999999996
2024,39,IND,PIT,QB,31.74
2024,39,IND,PIT,RB,25.3
2024,39,IND,PIT,WR/TE,35.3
2024,39,JAX,BUF,QB,30.94
2024,39,JAX,BUF,RB,25.5
2024,39,JAX,BUF,WR/TE,58.2
2024,39,JAX,HOU,QB,23.9
2024,39,JAX,HOU,RB,14.5
2024,39,JAX,HOU,WR/TE,68.3
2024,39,KC,LAC,QB,11.16
2024,39,KC,LAC,RB,9.6
2024,39,KC,LAC,WR/TE,27.799999999999997
2024,39,LA,CHI,QB,24.7
2024,39,LA,CHI,RB,34.9
2024,39,LA,CHI,WR/TE,29.2
2024,39,LAC,KC,QB,13.0
2024,39,LAC,KC,RB,8.6
2024,39,LAC,KC,WR/TE,44.300000000000004
2024,39,LV,CLE,QB,12.24
2024,39,LV,CLE,RB,13.2
2024,39,LV,CLE,WR/TE,33.9
2024,39,MIN,GB,QB,26.24
2024,39,MIN,GB,RB,14.600000000000001
2024,39,MIN,GB,WR/TE,72.60000000000001
2024,39,NE,SF,QB,13.66
2024,39,NE,SF,RB,18.1
2024,39,NE,SF,WR/TE,39.0
2024,39,NO,ATL,QB,7.52
2024,39,NO,ATL,RB,27.8
2024,39,NO,ATL,WR/TE,24.7
2024,39,NYG,DAL,QB,16.74
2024,39,NYG,DAL,RB,15.5
2024,39,NYG,DAL,WR/TE,37.7
2024,39,NYJ,DEN,QB,15.0
2024,39,NYJ,DEN,RB,12.700000000000001
2024,39,NYJ,DEN,WR/TE,23.900000000000002
2024,39,PHI,TB,QB,28.88
2024,39,PHI,TB,RB,23.6
2024,39,PHI,TB,WR/TE,54.199999999999996
2024,39,PIT,IND,QB,20.36
2024,39,PIT,IND,RB,37.199999999999996
2024,39,PIT,IND,WR/TE,42.9
2024,39,SF,NE,QB,6.86
2024,39,SF,NE,RB,16.5
2024,39,SF,NE,WR/TE,20.200000000000003
2024,39,TB,PHI,QB,17.42
2024,39,TB,PHI,RB,13.5
2024,39,TB,PHI,WR/TE,26.599999999999998
2024,39,WAS,ARI,QB,9.98
2024,39,WAS,ARI,RB,26.4
2024,39,WAS,ARI,WR/TE,24.3
2024,39,WAS,CIN,QB,25.36
2024,39,WAS,CIN,RB,26.1
2024,39,WAS,CIN,WR/TE,56.800000000000004
2024,40,ARI,SF,QB,13.06
2024,40,ARI,SF,RB,10.2
2024,40,ARI,SF,WR/TE,39.4
2024,40,ATL,TB,QB,23.4
2024,40,ATL,TB,RB,12.7
2024,40,ATL,TB,WR/TE,42.599999999999994
2024,40,BAL,CIN,QB,33.78
2024,40,BAL,CIN,RB,19.6
2024,40,BAL,CIN,WR/TE,71.6
2024,40,BUF,HOU,QB,15.94
2024,40,BUF,HOU,RB,23.4
2024,40,BUF,HOU,WR/TE,54.1
2024,40,CAR,CHI,QB,52.96
2024,40,CAR,CHI,RB,33.5
2024,40,CAR,CHI,WR/TE,71.7
2024,40,CHI,CAR,QB,15.079999999999998
2024,40,CHI,CAR,RB,34.800000000000004
2024,40,CHI,CAR,WR/TE,30.700000000000003
2024,40,CIN,BAL,QB,32.94
2024,40,CIN,BAL,RB,16.1
2024,40,CIN,BAL,WR/TE,75.5
2024,40,CLE,WAS,QB,21.44
2024,40,CLE,WAS,RB,48.9
2024,40,CLE,WAS,WR/TE,31.2
2024,40,DAL,PIT,QB,16.46
2024,40,DAL,PIT,RB,19.9
2024,40,DAL,PIT,WR/TE,29.86
2024,40,DEN,LV,QB,9.44
2024,40,DEN,LV,RB,19.7
2024,40,DEN,LV,WR/TE,35.699999999999996
2024,40,DET,SEA,QB,21.12
2024,40,DET,SEA,RB,38.1
2024,40,DET,SEA,WR/TE,50.9
2024,40,GB,LA,QB,12.2
2024,40,GB,LA,RB,20.4
2024,40,GB,LA,WR/TE,42.5
2024,40,HOU,BUF,QB,12.84
2024,40,HOU,BUF,RB,21.099999999999998
2024,40,HOU,BUF,WR/TE,19.900000000000002
2024,40,IND,JAX,QB,27.04
2024,40,IND,JAX,RB,30.499999999999996
2024,40,IND,JAX,WR/TE,52.9
2024,40,JAX,IND,QB,26.64
2024,40,JAX,IND,RB,22.6
2024,40,JAX,IND,WR/TE,65.56
2024,40,LA,GB,QB,15.96
2024,40,LA,GB,RB,17.9
2024,40,LA,GB,WR/TE,41.6
2024,40,LV,DEN,QB,35.04
2024,40,LV,DEN,RB,23.6
2024,40,LV,DEN,WR/TE,47.8
2024,40,MIA,NE,QB,8.1
2024,40,MIA,NE,RB,23.6
2024,40,MIA,NE,WR/TE,21.8
2024,40,MIA,TEN,QB,11.799999999999999
2024,40,MIA,TEN,RB,28.0
2024,40,MIA,TEN,WR/TE,18.099999999999998
2024,40,MIN,NYJ,QB,15.059999999999999
2024,40,MIN,NYJ,RB,8.5
2024,40,MIN,NYJ,WR/TE,49.5
2024,40,NE,MIA,QB,6.46
2024,40,NE,MIA,RB,35.1
2024,40,NE,MIA,WR/TE,31.4
2024,40,NYG,SEA,QB,22.56
2024,40,NYG,SEA,RB,15.6
2024,40,NYG,SEA,WR/TE,33.8
